FactGLTranID,GLTranAmount,JournalID,GLTranDescription,GLTranDate,GLAcctNum,GLAcctName,Statement,Category,Subcategory,StoreNum,StoreName,ManagerID,PreviousManagerID,ContactTel,AddressLine1,AddressLine2,ZipCode,RegionNum,RegionName,SalesRegionName,LastRefreshDate
1,500000.000,609,Term Loan Injection,2019-01-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
2,-500000.000,609,Term Loan Injection,2019-01-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
3,24861.110,1828,Term Loan - Interest Payment,2019-01-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
4,24791.670,1540,Term Loan - Interest Payment,2019-02-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
5,24652.780,1682,Term Loan - Interest Payment,2019-03-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
6,24513.890,878,Term Loan - Interest Payment,2019-04-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
7,24375.000,894,Term Loan - Interest Payment,2019-05-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
8,24236.110,1003,Term Loan - Interest Payment,2019-06-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
9,24097.220,1823,Term Loan - Interest Payment,2019-07-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
10,23958.330,1263,Term Loan - Interest Payment,2019-08-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
